director,TV-MA,TV-14,PG-13,PG,R,TV-PG,G,TV-Y,TV-Y7,TV-G
Rohit Shetty,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejandro Doria,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laura Fairrie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcelo Piñeyro,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Izu Ojukwu,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Peter Winther,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Susan Lacy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Mangold,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Chineze Anyaene,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsu Fu-chun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Levant,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rod Daniel,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Zemeckis,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Todor Chapkanov,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Steven Spielberg,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil Lord,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Christopher Miller,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
John Hughes,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Baldoni,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Roth,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mark Helfrich,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Christopher Nolan,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Thomas Anderson,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nick Castle,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Howard Zieff,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Howard Zieff,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
David Feiss,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
David Gordon Green,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jorge Blanco,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Zara Hayes,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Ross,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Clint Eastwood,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Trey Parker,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Kelly Fremon Craig,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Tom Elkins,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Tony Scott,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Brad Furman,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Sylvain White,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
